Restaurant_Name,Cusines,Ratings,Location,Delivery_review_no,Restaurant_link,Price_for_one
Chai Days,Beverages,4.4,koramangala,20,https://www.swiggy.com/restaurants/chai-days-khb-colony-koramangala-bangalore-368035,100
Davangere Benne Dose,South Indian,4.3,rajarajeshwari nagar,20,https://www.swiggy.com/restaurants/davangere-benne-dose-beml-layout-rajarajeshwari-nagar-bangalore-384516,60
Vijayalakshmi Veg,South Indian,4.3,malleswaram,20,https://www.swiggy.com/restaurants/vijayalakshmi-veg-margosa-road-malleshwaram-bangalore-173590,50
New Udupi Grand,North Indian,3.7,adugodi,20,https://www.swiggy.com/restaurants/new-udupi-grand-nanjappa-layout-adugodi-bangalore-434488,125
Shanthi Sagar,Chinese,3.8,j.p nagar,20,https://www.swiggy.com/restaurants/shanthi-sagar-2nd-phase-jp-nagar-bangalore-4042,150
Aahar,Beverages,4.4,majestic,20,https://www.swiggy.com/restaurants/aahar-gandhi-nagar-majestic-bangalore-569800,100
Faasos Signature Wraps & Rolls,Snacks,4.4,j.p nagar,20,https://www.swiggy.com/restaurants/faasos-signature-wraps-and-rolls-rashtriya-vidyalaya-rd-jayanagar-bangalore-566296,175
New Shanthi Sagar(OLD) - Hosahalli Metro Station,Desserts,4.3,vijayanagar,20,https://www.swiggy.com/restaurants/new-shanthi-sagar-old-hosahalli-metro-station-chord-road-vijayanagar-bangalore-34535,150
Kanti Bakes And Flakes,Sweets,4.4,ashok nagar,20,https://www.swiggy.com/restaurants/kanti-bakes-and-flakes-brigade-rd-ashok-nagar-bangalore-469151,100
Jodhpur Sweets,Indian,4.4,j.p nagar,20,https://www.swiggy.com/restaurants/jodhpur-sweets-5th-block-jayanagar-bangalore-639841,100
Thalassery Cafe,Snacks,4.1,btm layout,20,https://www.swiggy.com/restaurants/thalassery-cafe-2nd-stage-btm-layout-bangalore-178683,50
McDonald's,Beverages,4.3,koramangala,20,https://www.swiggy.com/restaurants/mcdonalds-5th-block-koramangala-bangalore-23678,200
FreshMenu,Chinese,4.1,richmond road,20,https://www.swiggy.com/restaurants/freshmenu-johnson-market-richmond-road-bangalore-6924,125
Subway,Snacks,4.2,basavanagudi,20,https://www.swiggy.com/restaurants/subway-bull-temple-road-basavanagudi-bangalore-1452,175
Great Indian Khichdi by EatFit,Indian,4.3,vasanth nagar,20,https://www.swiggy.com/restaurants/great-indian-khichdi-by-eatfit-cunnigham-road-vasanth-nagar-bangalore-440123,100
Samosa Party,Snacks,4.6,brigade road,20,https://www.swiggy.com/restaurants/samosa-party-brigade-road-bangalore-312660,75
Bakingo,Desserts,4.2,banashankari,20,https://www.swiggy.com/restaurants/bakingo-3rd-stage-banashankari-bangalore-420020,200
Amma's Pastries,Desserts,3.8,j.p nagar,20,https://www.swiggy.com/restaurants/ammas-pastries-gandhi-bazar-jayanagar-bangalore-378185,175
Davanagere Benne Dose,South Indian,4.2,j.p nagar,20,https://www.swiggy.com/restaurants/davanagere-benne-dose-4th-block-jayanagar-bangalore-326125,60
ITC Sunfeast Baked Creations,Desserts,4.5,rajajinagar,20,https://www.swiggy.com/restaurants/itc-sunfeast-baked-creations-west-of-chord-road-rajajinagar-bangalore-409529,300
Aubree,Bakery,4.3,shivajinagar,20,https://www.swiggy.com/restaurants/aubree-timmaiah-road-shivajinagar-bangalore-51835,350
ATH - All Things Healthy!,Healthy Food,4.1,basavanagudi,20,https://www.swiggy.com/restaurants/ath-all-things-healthy-mahadevamma-arcade-basavanagudi-bangalore-744223,250
Sri Krishna Sagar,North Indian,4.3,koramangala,20,https://www.swiggy.com/restaurants/sri-krishna-sagar-6th-block-koramangala-bangalore-50711,100
Iyengars Bakery,Ice Cream,4.3,j.p nagar,20,https://www.swiggy.com/restaurants/iyengars-bakery-4th-t-block-jayanagar-bangalore-41904,25
Edesia by Freshmenu,Bakery,3.9,richmond town,20,https://www.swiggy.com/restaurants/edesia-by-freshmenu-aga-abdullah-street-richmond-town-bangalore-237472,75
GetAWay-Desserts,Ice Cream,4,prakash nagar,20,https://www.swiggy.com/restaurants/getaway-desserts-9th-main-prakash-nagar-bangalore-735624,125
Aligarh House -Mughlai Biryani,Mughlai,4.1,cunningham road,20,https://www.swiggy.com/restaurants/aligarh-house-mughlai-biryani-ali-asker-road-cunningham-road-bangalore-393108,200
Cupcake Bliss Cake & Desserts,Desserts,3.6,vasanth nagar,20,https://www.swiggy.com/restaurants/cupcake-bliss-cake-and-desserts-padmavathi-complex-vasanth-nagar-bangalore-402719,100
The Dessert Zone,Desserts,3.6,vasanth nagar,20,https://www.swiggy.com/restaurants/the-dessert-zone-millars-road-vasanth-nagar-bangalore-403197,100
Smoodies by EatFit,Juices,4.8,central bangalore,20,https://www.swiggy.com/restaurants/smoodies-by-eatfit-vasantha-nagar-central-bangalore-bangalore-661062,135
Bowl Soul,Asian,3.9,richmond town,20,https://www.swiggy.com/restaurants/bowl-soul-aga-abdullah-street-richmond-town-bangalore-464835,125
The Brooklyn Creamery - Healthy Ice Cream,Ice Cream,4.3,seshadripuram,20,https://www.swiggy.com/restaurants/the-brooklyn-creamery-healthy-ice-cream-vv-giri-colony-seshadripuram-bangalore-376324,100
FB Cakes,Sweets,3.2,rajajinagar,20,https://www.swiggy.com/restaurants/fb-cakes-magadi-main-road-rajajinagar-bangalore-709733,250
Smoor,Desserts,4.4,lavelle road,20,https://www.swiggy.com/restaurants/smoor-ashok-nagar-lavelle-road-bangalore-588012,225
The Dessert Heaven - Pure Veg,Desserts,4.3,dr rajkumar road,20,https://www.swiggy.com/restaurants/the-dessert-heaven-pure-veg-1st-block-dr-rajkumar-road-bangalore-442836,100
Home Plate by EatFit,Home Food,3.9,cunningham road,20,https://www.swiggy.com/restaurants/home-plate-by-eatfit-vasanth-nagar-cunningham-road-bangalore-440151,100
Paratha Box - Desi Punjabi Meals,Fast Food,4.2,vasanth nagar,20,https://www.swiggy.com/restaurants/paratha-box-desi-punjabi-meals-ali-asker-road-vasanth-nagar-bangalore-396192,125
Sri Krishna Sweets,Sweets,4.5,malleswaram,20,https://www.swiggy.com/restaurants/sri-krishna-sweets-malleswaran-malleshwaram-bangalore-66032,100
HRX by EatFit,Salads,4.6,cunningham road,20,https://www.swiggy.com/restaurants/hrx-by-eatfit-ali-asker-road-cunningham-road-bangalore-558773,225
Green Cravings,Fast Food,4.1,richmond town,20,https://www.swiggy.com/restaurants/green-cravings-aga-abdullah-street-richmond-town-bangalore-197935,175
Theobroma,Bakery,4.6,ashok nagar,20,https://www.swiggy.com/restaurants/theobroma-vittal-malya-road-ashok-nagar-bangalore-426730,250
Starbucks Coffee,Cafe,4.2,lavelle road,20,https://www.swiggy.com/restaurants/starbucks-coffee-ashok-nagar-lavelle-road-bangalore-124178,200
Ande Ka Funda,North Indian,4.2,j.p nagar,20,https://www.swiggy.com/restaurants/ande-ka-funda-1st-phase-jp-nagar-bangalore-244337,49.5
IGP Cakes,Bakery,3.9,koramangala,20,https://www.swiggy.com/restaurants/igp-cakes-kolandappa-garden-gajendra-nagar-koramangala-bangalore-677031,149.5
Sri Udupi Park (100ft Road),North Indian,4.3,indiranagar,20,https://www.swiggy.com/restaurants/sri-udupi-park-100ft-road-defence-colony-indiranagar-bangalore-34301,50
Bikaner Sweets,Sweets,4,j.p nagar,20,https://www.swiggy.com/restaurants/bikaner-sweets-4th-t-block-jayanagar-bangalore-424609,49.5
Cakewala,Desserts,4.3,j.p nagar,20,https://www.swiggy.com/restaurants/cakewala-4th-block-jayanagar-bangalore-29071,200
Krispy Kreme,Beverages,4.7,richmond road,20,https://www.swiggy.com/restaurants/krispy-kreme-austin-town-richmond-road-bangalore-59146,85
Ovenfresh Cakes and Desserts,Italian,4.1,dr rajkumar road,20,https://www.swiggy.com/restaurants/ovenfresh-cakes-and-desserts-dr-rajkumar-rd-dr-rajkumar-road-bangalore-687242,100
Priyadarshini Veg,South Indian,4.4,yeshwanthpur,20,https://www.swiggy.com/restaurants/priyadarshini-veg-lcr-complex-yeshwantpur-bangalore-57086,75
Davanagere Benne Dose,South Indian,4.2,j.p nagar,20,https://www.swiggy.com/restaurants/davanagere-benne-dose-9th-block-jayanagar-bangalore-107476,75
Kaapi Katte,Snacks,4.2,nagarbhavi,20,https://www.swiggy.com/restaurants/kaapi-katte-annapoorneshwari-nagar-nagarbhavi-bangalore-382361,75
Millet Express,South Indian,4.5,arekere,20,https://www.swiggy.com/restaurants/millet-express-j-p-nagar-arekere-bangalore-651675,100
The Hole in the Wall Cafe,American,4.3,koramangala,20,https://www.swiggy.com/restaurants/the-hole-in-the-wall-cafe-4th-block-koramangala-bangalore-232,128.5
Shanti Sagar,North Indian,4.4,ulsoor,20,https://www.swiggy.com/restaurants/shanti-sagar-tank-road-ulsoor-bangalore-58197,150
Udupi Shanthi Sagar,Beverages,4.4,frazer town,20,https://www.swiggy.com/restaurants/udupi-shanthi-sagar-cleveland-town-frazer-town-bangalore-418859,100
Irani Std. Tea,Snacks,3.2,indiranagar,20,https://www.swiggy.com/restaurants/irani-std-tea-6th-main-rd-indiranagar-bangalore-709119,100
Paakashala Heritage,Chinese,4.4,uttarahalli,20,https://www.swiggy.com/restaurants/paakashala-heritage-sri-bl-lakee-gowda-nagar-uttarahalli-bangalore-626940,200
Rampyari Chaiwala Netaji Bhajiawala,Snacks,3.9,btm layout,20,https://www.swiggy.com/restaurants/rampyari-chaiwala-netaji-bhajiawala-2nd-stage-btm-layout-bangalore-383072,50
Palmgrove Ballal Residency,Coastal,4.5,residency road,20,https://www.swiggy.com/restaurants/palmgrove-ballal-residency-ballal-residency-residency-road-bangalore-53490,200
Mulabagilu Dosa,Indian,4.2,banashankari,20,https://www.swiggy.com/restaurants/mulabagilu-dosa-3rd-stage-banashankari-bangalore-259367,50
Vishnu Garden,South Indian,4.4,rt nagar,20,https://www.swiggy.com/restaurants/vishnu-garden-ganganagar-r-t-nagar-bangalore-72350,125.5
Leon's - Burgers & Wings (Leon Grill),Snacks,4.3,koramangala,20,https://www.swiggy.com/restaurants/leons-burgers-and-wings-leon-grill-koramangala-bangalore-65797,150
Anagha Grand Veg,Oriental,4.4,kumaraswamy layout,20,https://www.swiggy.com/restaurants/anagha-grand-veg-housing-society-layout-kumaraswamy-layout-bangalore-396895,100
Nammura Upahara,Combo,4.4,uttarahalli,20,https://www.swiggy.com/restaurants/nammura-upahara-simhadri-layout-uttarahalli-bangalore-382561,100
154 Breakfast Club,Continental,4.4,koramangala,20,https://www.swiggy.com/restaurants/154-breakfast-club-4th-block-koramangala-bangalore-243755,500
The Brekkie Shop - All Day Menu,Italian,4.4,indiranagar,20,https://www.swiggy.com/restaurants/the-brekkie-shop-all-day-menu-1st-stage-indiranagar-bangalore-2008,100
Gorbandh Sweets & Snacks,North Indian,4,btm layout,20,https://www.swiggy.com/restaurants/gorbandh-sweets-and-snacks-2nd-stage-btm-layout-bangalore-44049,100
Umesh Refreshments UDP,Beverages,4.4,indiranagar,20,https://www.swiggy.com/restaurants/umesh-refreshments-udp-hal-2nd-stage-indiranagar-bangalore-562233,100
Temperature,Chaat,4,btm layout,20,https://www.swiggy.com/restaurants/temperature-2nd-stage-btm-layout-bangalore-176212,100
Jagli Tindi,South Indian,4.2,j.p nagar,20,https://www.swiggy.com/restaurants/jagli-tindi-7th-phase-jp-nagar-bangalore-292472,100
